Name	o.rank	d.rank	g.rank	bib	age
Misa Vujaklija	2248	209	1660	1544	30
Taylor Weber	483	66	423	1545	30
Matthew Wontz	218	37	199	1546	33
Tom Yost	980	128	843	1547	31
Matthew Zucker	DNF	NA	NA	1548	32
Christopher Zuk	1505	169	1225	1549	34
Kayla Jones	1065	3	155	154	22
Jeff Addison	1278	168	1070	1550	38
Craig Aguiar-Winter	946	127	813	1551	38
Michael Allen	864	123	749	1553	38
Corey Allison	1960	226	1491	1554	38
Laurent Armstrong	1051	144	899	1555	37
Gilles Arsenault	1667	210	1329	1556	38
Brian Aubuchon	DNF	NA	NA	1557	38
Frederic Ayotte	994	136	853	1558	36
Sid-Ali Azouagh	305	56	274	1559	39
Joannie Sanche	142	3	15	155	27
Frederic Bard	1316	174	1100	1561	37
Jason Barletta	1772	217	1387	1563	35
Eddy Baynham	1269	166	1063	1564	38
Benoit Beland	1398	186	1156	1565	36
Nicolas Belanger	DNS	NA	NA	1566	34
Jose Benitez	1598	202	1284	1567	39
David Benoit	1591	200	1278	1568	38
Benjamin Blake	266	45	240	1569	38
Elinore Stabert	1035	16	149	156	27
Drew Blanchette	1848	221	1429	1570	38
Charles Bobal	1078	147	919	1571	34
Joshua Boles	DNF	NA	NA	1572	39
Joel Bonniez	1876	222	1445	1573	34
Dominic Bouchard	DNF	NA	NA	1574	39
Sebastien Bouchard	837	120	730	1575	35
Mathieu Boucher	531	83	462	1576	39
Erick Brandt	214	37	195	1577	38
Brian Breck	816	118	711	1578	35
Olivier Breton	248	41	226	1579	38
Allison Wong	807	11	104	157	27
Rudy Brochu	211	36	192	1580	37
Patrice Brunelle	1194	156	1003	1581	37
Thomas Burt	315	58	282	1582	37
Jean-Philippe Buteau	954	130	820	1583	36
Philip Carlson	1709	213	1351	1584	38
Benjamin Cavez	582	91	507	1585	36
Shawn Chevalier	2107	233	1580	1586	38
Carlos Concepcion	1134	149	957	1587	35
Mike Cooke	180	29	164	1588	NA
Jean-Francois Cossette	1294	171	1083	1589	38
Guy Jr Coutu	493	79	430	1590	38
Renato Dalboni	948	129	815	1591	38
Eric Daye	583	92	508	1592	35
Jeremiah Dekle	1206	159	1013	1593	37
Niki Demers	404	68	355	1594	34
John-Paul Di Fazio	1446	189	1192	1595	39
James Diaz	687	105	598	1597	37
Chad Dickinson	308	57	276	1598	39
Brian Dion	1599	203	1285	1599	35
Samantha Cochrane	786	28	100	159	34
Cody Dolly	316	59	283	1600	36
Jim Donnelly	559	88	487	1601	37
Eric H. Doss	2148	238	1603	1602	36
Jean-Daniel Dubois	210	35	191	1603	38
Jean-Francois Dupont	267	46	241	1604	35
Stanley Dymecki	DNF	NA	NA	1605	35
Fran Egan	135	22	121	1606	38
Arad Elahi	623	96	543	1607	35
John Figliolini	590	93	514	1609	36
Karim Fortes Lezama	1374	181	1138	1611	39
Bryan Fromstein	1373	180	1137	1612	37
Matthew Funston	996	137	855	1613	38
Shinichiro Fuse	1333	175	1113	1614	37
Matthew Galvin	1680	212	1334	1616	35
Vincenzo Garganese	1453	190	1196	1618	35
Jonathan Garneau	797	115	694	1619	37
Cindy Dubois	190	3	17	161	31
Gerardo Garza	789	113	688	1620	37
Jonathan Gauthier	974	132	838	1621	34
Jeremy Gheller	947	128	814	1622	37
Olivier Girouard	100	16	91	1624	35
Michael Glekel	2132	236	1596	1625	36
Claude Godmer	670	102	584	1626	34
Adam Golden	162	25	146	1627	39
J.C. Gould	1028	141	881	1628	39
William Gowin	DNF	NA	NA	1629	38
Raphaelle Harvey	363	14	45	162	34
Adam Granoff	1192	155	1001	1630	38
Jason Graveline	383	65	336	1631	38
Mathieu Grenier	DNF	NA	NA	1632	38
Patrick Griffin	269	47	243	1633	37
Timothy Grinnell	538	85	469	1634	39
George Hade	530	82	461	1635	36
Shane Harrison	389	67	340	1636	39
Lee Hart	265	44	239	1637	39
Joshua Hayden	1158	151	972	1638	34
Toby Lee Heath	1292	170	1081	1639	39
Nicole Mikhael	1089	41	164	163	34
Jay Hickey	258	42	233	1640	38
Brian Hudson	1375	182	1139	1641	34
Hector Jimenez	656	99	571	1642	39
Brian Joseph	1270	167	1064	1643	38
Masataka Kakitsu	1407	188	1164	1644	35
Jeffrey Kamai	DNF	NA	NA	1645	38
Jeffrey Krempa	1062	146	908	1646	38
Andy Kronschnabel	101	17	92	1647	38
Dany L'Abbee	2141	237	1601	1648	35
Christophe Laborde	454	75	397	1649	35
Denis Laflamme	536	84	467	1650	37
Siu Lam	1549	198	1253	1651	35
Jean-Alexandre Lambert	1242	163	1041	1652	38
Kevin Lamoureux	1509	193	1229	1653	36
David Langen	174	28	158	1654	37
Daniel Lansen	1642	209	1312	1655	34
Scott Lavigne	471	77	413	1656	37
Tae Lee	1674	211	1331	1657	37
Kevin Lee Chip Hing	1039	143	890	1658	36
Sebastien Lehmann	DNF	NA	NA	1659	34
Karen Robb	307	8	32	165	34
Benoit Lemieux	453	74	396	1660	36
Alberto Lichtle	1783	218	1394	1662	35
Carlos Ling	1239	162	1038	1663	35
Andrew Lodge	1953	225	1488	1664	37
Goyos Luis	984	134	846	1665	38
Sean Lyons	1346	177	1120	1666	36
Marc Maccallum	1257	164	1052	1667	36
Jeremy Maciver	1613	206	1294	1668	36
Sean Maher	576	90	501	1669	36
Riccardo Mapelli	660	100	574	1670	37
Curt Mason	280	48	252	1671	36
Goran Matic	793	114	690	1672	38
Kenjiro Matsuo	2151	239	1605	1673	35
Michael May	1027	140	880	1674	38
Ian Mayberry	556	87	484	1675	39
Gregory Mckirryher	286	50	257	1676	38
Jeremy Mcnamara	185	31	169	1678	37
Benoit Menard	503	81	437	1679	38
Justine Waters	1070	40	158	167	30
Sherman Merritt	1359	179	1126	1680	36
Tom Michalski	1231	161	1031	1681	37
Frederick Michaud	998	138	857	1682	37
Gordon Milne	184	30	168	1683	34
Isaac Moreno Chavarria	1612	205	1293	1684	36
Ephraim Morris	708	108	615	1685	38
Pascal Nault	261	43	235	1687	38
Yui Nishimoto	DNF	NA	NA	1688	35
Louis-Philippe Noel	894	126	775	1689	37
Lindsay Cole	846	27	110	168	36
Frederic Nolin	202	33	185	1690	34
Jason Orsini	DNF	NA	NA	1691	36
Nicholas Osinski	1520	195	1234	1692	38
Nicholas Oswald	956	131	822	1693	37
Simon Ouellet	627	98	547	1694	37
Philip Panajon	1396	185	1154	1695	37
Patrick Pare	1289	169	1078	1696	36
Philippe Pare	1542	197	1249	1697	37
Christophe Patoux	74	13	70	1698	38
Andrew Pauls	1036	142	887	1699	38
Thomas Gerlach	DNS	NA	NA	16	35
Christophe Pelissier	DNF	NA	NA	1700	35
Christian Pelletier	1961	227	1492	1701	38
Jonathan Pelletier	DNF	NA	NA	1702	37
Matthew Perez	993	135	852	1703	39
Dmitry Pikman	498	80	434	1704	35
Etienne Pilon	1310	173	1096	1705	37
Gilbert Pinard	600	94	522	1706	39
Jaime Pineda	1946	223	1483	1707	36
Keven Plante	DNF	NA	NA	1708	37
Matthew Poole	30	3	28	1709	37
Lauren Groppi	500	14	65	170	37
Mark Powell	1391	183	1149	1710	38
Graham Powers	293	52	263	1711	36
Trevor Powers	981	133	844	1712	34
Andrew Pratt	2075	231	1562	1713	35
Jean-Francois Prevost	1756	215	1378	1714	39
Corby Purdy	844	121	735	1715	39
Andrew Quan	1486	192	1213	1716	36
Ryan Rabish	1111	148	939	1717	34
Christopher Rappold	1595	201	1281	1718	36
Greg Rashford	825	119	720	1719	37
Kim Kallas	DNF	NA	NA	171	37
Drew Reilly	1170	153	983	1720	36
Pix Reroma	2108	234	1581	1721	39
Luis Rivera	240	40	220	1722	38
Martin Roy	685	104	597	1723	38
Steven Rozic	678	103	591	1724	36
Jim Russell	1059	145	906	1725	37
Ambrose Schulte	353	61	311	1726	35
Andre Schunk	624	97	544	1727	39
Nicolai Siggel	40	5	38	1729	39
Allison Larochelle	207	4	18	172	37
Eric Silva	186	32	170	1730	36
Ryan Silver	1341	176	1119	1731	38
Olivier Simart	412	70	362	1732	35
Jason Singer	1550	199	1254	1733	38
Nick Sklavounos	1602	204	1288	1734	36
Chris Smith	1830	219	1420	1735	38
Peter Smith	1847	220	1428	1736	39
Ernest St-Pierre	97	14	88	1737	37
Jeremy Strampel	1214	160	1018	1738	38
Norman Strauss Iii	1204	158	1011	1739	36
Christine Ligocki	842	26	109	173	35
Keegan Stueck	148	24	133	1740	38
Elvis Stumbergs	1179	154	990	1741	34
Joseph Sullivan	236	39	216	1742	37
Michel Szabo	2129	235	1594	1743	38
Jonathan Tao	1762	216	1381	1744	36
David Tardif	119	21	109	1745	38
Dave Thorne	2017	228	1524	1747	38
Jeremy Thorud	869	124	754	1748	35
Frank Toce	1143	150	963	1749	38
Kristi Mccracken	673	20	87	174	35
Mani Tousi	696	107	605	1750	37
Michael Tranmer	782	112	684	1751	35
Paul Treiber	803	116	700	1752	36
Guillermo Tudela	1628	208	1302	1753	37
Adam Upshaw	374	63	328	1754	36
Andrew Upshaw	DNS	NA	NA	1755	37
Rodolfo Valades	1392	184	1150	1756	38
Jeremy Valeriote	57	9	54	1757	39
Matthew Valle	2028	229	1532	1758	36
Sebastien Vallee	203	34	186	1759	38
Mylene Quesnel	332	10	37	175	38
Philip Vayalumkal	1625	207	1301	1760	35
Jonathan Venne	1005	139	864	1762	35
Patrick Verhaar	809	117	705	1763	38
Harmon Walsh	884	125	768	1764	38
Geoffrey Walsky	1455	191	1197	1765	37
Johan Wehle	854	122	741	1766	34
Doug Welling	173	27	157	1767	36
Aaron Williams	407	69	357	1768	39
Immanuel Wineman	384	66	337	1769	38
Alexis Ressler	388	11	49	176	35
Peter Zelken	463	76	406	1770	35
Patrick Zinn	416	71	366	1771	36
Yan Allard	1896	309	1455	1773	40
Randall Andrews	1472	270	1206	1774	44
Robert Andrews	1917	311	1466	1775	43
Gustavo Angarita	2009	323	1519	1776	39
Greg Antolick	1112	222	940	1777	39
Hector Aragon	426	86	375	1778	41
Giles Atkinson	775	161	677	1779	43
Ginny Roma	1884	76	434	177	34
Jean-Philippe B. Gagnon	246	55	224	1781	41
Stephane Babineau	1072	216	914	1782	42
Cesar Barajas	1447	267	1193	1783	40
Michael Bassett	232	51	213	1785	40
David Belanger	1467	269	1203	1786	39
Frederic Belanger	1338	256	1116	1787	40
Jeff Bellavance	1253	240	1048	1788	NA
Benoit Benoit	319	63	286	1789	39
Brandi Venne	DNF	NA	NA	178	35
Fabien Bergeron	132	21	118	1790	44
Nicolas Bergeron	647	133	565	1791	40
Kevin Besner	1168	230	981	1792	43
Cristian Bieder	502	104	436	1793	39
Jean-Guy Billard	DNF	NA	NA	1794	43
Ghyslain Billette	1023	206	877	1795	40
Paul Blaik	1122	223	949	1796	42
Seth Blumerman	1083	219	921	1797	42
Sebastien Bolduc	415	83	365	1799	42
Nick Glavac	DNF	NA	NA	17	29
Joseph Borawski	1414	262	1169	1800	42
Joey P. Boudreau	1236	237	1035	1801	42
Jeff Bowles	1276	243	1068	1802	42
Tony Bowron	1159	227	973	1803	41
Bernardo Bremer	219	44	200	1805	40
Durwin Brennan	1296	248	1085	1806	43
Jason Buelow	1045	210	895	1807	40
Michael Burke	542	113	472	1808	40
Krystle Andrews	1054	25	153	180	39
Mark Cairns	1590	281	1277	1810	40
Ramiro Calderon	677	140	590	1811	40
Angus Calderwood	223	47	204	1812	41
Jamie Campbell	1295	247	1084	1813	41
Jason Campopiano	1945	314	1482	1814	43
Marc Capobianco	66	7	62	1815	42
Adam Carne	47	5	44	1816	42
Robert Casserley	499	103	435	1817	40
Andrew Castaldi	217	43	198	1818	41
Rene Chabot	1314	253	1098	1819	43
Darcey Bartel	1658	69	337	181	44
Steve Cipriani	1041	209	892	1820	40
David Cole	1246	239	1043	1821	42
Raymond Collins	420	84	369	1822	40
Chris Cook	366	74	321	1823	41
Randy Cooper	200	38	183	1824	41
Dennis Corkery	1367	259	1133	1825	40
Jonathan Couture	921	188	795	1826	43
Matthew Coyle	527	111	459	1827	42
Jeremy Crane	1056	214	903	1828	43
Dawn Cass	501	5	66	182	43
Michael Da Ponte	358	71	314	1831	44
Patrick Dalton	762	156	665	1832	40
Anh Dang	828	172	723	1833	42
Jeremy Daveau	666	137	580	1834	44
Christian Delarosa	2034	325	1533	1835	43
Pascal Delisle	1526	275	1239	1836	44
Kevin Denston	409	82	359	1837	43
Benoit Deragon	562	116	489	1838	41
Jean Francois Deshaies	631	130	549	1839	40
Simon Desjardins	1801	300	1402	1840	41
Jean-Francois Desrosiers	346	69	305	1841	41
Martin Desrosiers	1822	303	1415	1842	40
Huan Dinh	DNF	NA	NA	1843	43
Hugo Dominguez	2226	341	1645	1844	40
Ed Doucet	76	10	71	1845	41
Mathieu Dube	896	181	776	1846	41
Jocelyn Ducharme	903	184	782	1847	40
Daniel Dugan	1572	278	1265	1848	43
Renee Durgin	1044	23	150	184	NA
Joe Edmond	465	95	408	1850	40
Bill Ellsworth	834	174	727	1851	44
GT Erguiza	1645	287	1314	1852	41
Raymond Fabrizio	537	112	468	1853	43
Matt Farwell	739	150	643	1854	41
Erik Fasano	1186	233	995	1855	43
Antonio Fernandez	1037	208	888	1856	43
Jerome Feuiltault	674	139	587	1857	44
Ricardo Figueroa	450	92	394	1858	42
Chris Floerchinger	1275	242	1067	1859	42
Katherine Kay	544	7	71	185	43
Darryl Fonagy	195	37	178	1862	39
Harper Forbes	139	25	125	1863	42
Robb Fordham	488	100	427	1864	40
Ehsan Formuli	2233	343	1650	1865	42
Simon Fortier	510	107	444	1866	41
Vincent Fortin	432	89	381	1867	41
Joel Fournier	573	118	498	1868	42
Chris Fralick	137	23	123	1869	40
Heather Ketcham	1513	59	282	186	43
Jeff Freeman	479	99	420	1870	40
Sylvain Fromage	281	59	253	1871	42
Marc Gallant	607	123	527	1872	39
Francisco Gaytan	1086	220	924	1873	NA
Mark Gergely	1315	254	1099	1874	44
Brendan Giese	1313	252	1097	1875	40
Francis Gingras	1954	316	1489	1876	40
Dave Grange	DNF	NA	NA	1877	44
Daniel Gregory	422	85	371	1878	40
Benjamin Guillemin	178	33	162	1879	44
Angela Nelms	2182	131	562	187	41
Jose Guzman	1722	296	1358	1880	42
Michael Haid	546	114	475	1881	41
Ian Hall	555	115	483	1882	43
Scott Hankinson	276	58	248	1884	43
Jason Hansen	1286	245	1077	1885	40
Alireza Hashemi	2190	339	1625	1887	43
Rick Haughwout	DQ	NA	NA	1888	44
Ken Hawkins	1950	315	1485	1889	43
Sheila Treleaven	208	2	19	188	42
David Hebert	DNF	NA	NA	1890	40
Tobias Helbing	965	196	829	1892	40
Lloyd Henry	959	194	825	1893	41
Mark Heung	1052	212	900	1894	40
Jeff Hires	1813	302	1410	1895	42
Matthew Hobbs	343	67	303	1896	40
Art Hochthurn	988	198	848	1897	42
William Hornsby	1546	277	1251	1899	42
Donna Bernier	1771	49	385	189	45
Travis Hawkins	35	11	33	18	33
Joe Horvat	1620	285	1298	1900	41
Michael Hughes	1920	312	1468	1902	43
Andrew Hunter	1807	301	1405	1903	40
Takakazu Ito	1177	232	988	1904	41
Rainer Jabs	DNF	NA	NA	1905	43
Scott Jelliman	873	180	758	1906	41
Eddie Johnson	204	39	187	1907	41
John Josey	521	109	454	1908	40
Gaetan Jr Joyal	1418	263	1172	1909	43
Sarah Crane	916	12	126	190	47
Gonzalo Juarez	1780	298	1392	1910	39
Timothy Karch	1355	257	1125	1912	39
Said Karimzad	2232	342	1649	1913	43
Brian Keane	1852	306	1430	1915	40
Michael Kearins	871	179	756	1916	40
Michael Keeley	1490	272	1215	1917	42
Kevin Kelly	601	122	523	1918	41
Rob Kemp	1496	274	1219	1919	NA
Julie Guay	1989	63	481	191	49
David Kennedy	1903	310	1460	1920	39
Jeff Keyser	1798	299	1399	1921	41
James Kilgallon	1046	211	896	1922	43
Daniel Klein	1308	251	1095	1923	42
Cristiano Konofal	587	120	511	1924	39
Jay Konopka	1528	276	1241	1925	43
Bryan Krabbe	49	6	46	1926	41
Ted Kramer	1290	246	1079	1927	41
Sebastien Labranche	206	41	189	1928	40
Danny Lacasse	800	167	697	1929	42
Kelly Kingsfield	2080	71	518	192	47
Serge Laforge	105	17	96	1930	43
Marc Lafrance	228	49	209	1931	42
Pascal Lalancette	526	110	458	1932	40
Pascal Laramee	1020	205	875	1933	41
Marco Larochelle	779	163	681	1934	40
Eric Lazerson	1074	217	916	1935	41
Trevor Leboeuf	2113	332	1586	1937	42
Dany Lemay	773	159	675	1938	41
Alexander Lenz	1582	280	1273	1939	41
Felicia Long	1347	27	227	193	46
Sylvain Levaillant	616	126	536	1940	40
Iwan Levin	755	153	658	1941	43
Eric Lewis	777	162	679	1942	43
David Liddle	183	35	167	1943	42
Kar-Ming Lo	622	128	542	1944	44
Jonathan Loer	1665	293	1327	1946	43
Jose Lomonaco	138	24	124	1947	41
Thomas Long	729	148	634	1948	40
Mike Longo	999	200	858	1949	40
Kathy Crawford	1827	56	409	194	46
Aaron Losness	DNF	NA	NA	1950	44
Robb Lovell	DNS	NA	NA	1951	40
Manfung Mak	DNF	NA	NA	1952	42
Louis Malisani	759	154	662	1953	41
Colin Massulik	2097	331	1573	1955	41
Laurent Matic	1403	260	1160	1956	40
Jme Maxwell	943	192	810	1957	39
Aidan Mcconkey	303	61	272	1958	44
Neil Mcdermott	235	53	215	1959	41
Lesley Maisey	1444	28	254	195	46
Scott Mcgrath	310	62	278	1960	43
Corey Mckusick	237	54	217	1961	40
Michael Mcnerney	DQ	NA	NA	1962	41
Tom Meehan	2142	335	1602	1963	43
Patrick Melfi	1014	203	870	1964	43
Jason Mercer	2001	322	1516	1965	41
Eric Miller	920	187	794	1967	43
Noah Mitchell	1019	204	874	1969	41
Delphine Perie-Curnier	923	13	128	196	44
Nolan Mitchell	1260	241	1055	1970	43
Masashi Miyajima	2063	327	1553	1971	43
Greg Momotiuk	2011	324	1521	1972	44
Garry Monaghan	1126	224	953	1973	42
Luis Moran	1306	250	1093	1974	40
Pascal Morissette	642	131	560	1976	42
Jorge Moreno	658	136	573	1977	43
Chris Moss	234	52	214	1978	42
Vinicius Motta	1081	218	920	1979	40
Elisabeth Ruel	700	8	92	197	49
Shawn Muise	1167	229	980	1980	42
Michael Murillo	1230	235	1030	1981	44
William Murray	644	132	562	1982	40
Brian Musiak	1175	231	987	1983	40
Brian Muzas	2189	338	1624	1984	42
Sylvain Nadeau	104	16	95	1985	41
Jean-Sebastien Nault	596	121	518	1986	41
Jarrod Neeley	760	155	663	1987	43
Frank Neuman	1573	279	1266	1988	43
Jim Neusch	1994	321	1512	1989	44
Pattie Dalconzo	908	8	123	198	53
Craig Newell	DNF	NA	NA	1990	43
Arnez Nisperos	1692	294	1344	1991	44
Martin Ouellet	131	20	117	1994	42
Geoff Palmer	1218	234	1021	1995	40
Stefano Paoli	29	4	27	1997	41
Fabrice Paquet	344	68	304	1998	39
Jocelyn Pare	168	32	152	1999	43
Maria Eid	1464	27	263	199	52
Chad Holderbaum	11	9	11	19	36
Jordan Rapp	2	2	2	1	36
Nelson Pare	1651	290	1318	2000	42
Philippe Parent	617	127	537	2001	41
Stephane Parsons	1010	202	867	2002	40
Michel Paul	1335	255	1114	2003	42
Martin Pelletier	1825	304	1417	2004	42
Eric Perkins	997	199	856	2006	41
Kevin Perks	1235	236	1034	2007	44
Matt Perzanowski	937	190	804	2008	43
Grant Peterson	1606	283	1290	2009	40
Kamen Petrov	568	117	494	2010	42
Bing Phung	1883	308	1450	2011	40
Stephan Plamondon	714	145	621	2012	40
Teddy Portmann	1409	261	1166	2013	41
Martin Proulx	626	129	546	2015	42
Jonathan Puchalski	2205	340	1634	2016	44
Sean Quinn	952	193	818	2017	41
Albert Quisumbing	2127	334	1592	2018	40
Nicholas Raymond	932	189	800	2019	44
Denise Ramirez	524	5	68	201	50
Marc-Andre Richard	669	138	583	2020	44
Francois Rivet	1442	266	1190	2021	40
Denis Robitaille	684	142	596	2022	44
Norman Rohr	1132	225	955	2024	40
David Rose	748	152	651	2025	42
Steven Rosenthal	359	72	315	2026	43
Joseph Rossi	1976	319	1502	2027	40
Christopher Rotelli	849	176	738	2028	42
Phil Roucoulet	722	147	628	2029	44
Margaret King	480	1	60	202	55
Andreas Ruediger	2070	328	1559	2030	44
Stephen Rullo	1990	320	1509	2031	41
Michael Rumi	575	119	500	2032	42
Marius Rzucidlo	1093	221	928	2034	39
Jody Sanderson	109	18	100	2035	44
Martin Saumure	1635	286	1307	2036	43
Bruno Savard	368	75	323	2037	43
Frederic Savoie	469	96	411	2038	42
Michael Scarton	683	141	595	2039	44
Ryan Seeriram	1489	271	1214	2041	41
Christopher Shane	1617	284	1296	2043	41
Jim Shepardson	901	182	780	2044	44
Dany Simard	610	124	530	2046	44
Bradley Smith	802	168	699	2047	43
Brian Smith	491	101	429	2048	40
Michael Smith	DNF	NA	NA	2049	41
Teresa Nicolson	1568	11	306	204	57
Walter Soriano	767	157	670	2050	43
Yanick Soucy	182	34	166	2052	40
Zindine Souiki	360	73	316	2053	42
David Soukup	515	108	449	2054	44
Mark Spadoni	1440	264	1188	2056	43
Michael Strong	655	134	570	2057	41
Daniel Stuart	1002	201	861	2058	43
David Sykes	1237	238	1036	2059	44
Joanne Furu	2032	5	500	205	63
Hakim Telmat	1925	313	1470	2061	44
Rainer Torres	2062	326	1552	2064	40
Patrice Tremblay	113	19	104	2065	42
Alessandro Tronco	1648	289	1316	2066	42
Jason Trueman	829	173	724	2067	43
Jean-Philippe Turcotte	212	42	193	2068	42
Jeffrey Uchin	1144	226	964	2069	43
Lynda Neuman	2083	7	521	206	64
Ryan Vaart	428	88	377	2070	43
Bruno Vaillancourt	1285	244	1076	2071	40
Carl Vaillancourt	2072	329	1560	2072	40
Stephen Vaillancourt	856	178	742	2073	44
Hardus Van Vuuren	1301	249	1089	2074	40
Ben Vanmarcke	447	90	391	2075	40
Jacob Varghese	2124	333	1591	2076	42
Carl Veilleux	457	93	400	2077	40
Mendez Victor	787	164	687	2079	42
Charles-A. Beaulne	52	6	49	207	26
Joseph Wagnis	1064	215	910	2080	43
Andy Walsh	1165	228	978	2081	40
Rob Ward	737	149	641	2082	43
Robert Warwick	657	135	572	2083	42
Joel Watts	226	48	207	2084	39
Martin Weiss	1600	282	1286	2085	41
